title,author,length
Standing Dead,Margaret Mizushima, 9 hrs and 38 mins
Miss Flibbertigibbet and the Barbarian,Stephanie Laurens, 12 hrs and 28 mins
The Ghost Club,Kate Winkler Dawson, 4 hrs and 1 min
Code Red,"Vince Flynn,Kyle Mills", 9 hrs and 30 mins
Savage Bonds,J Bree, 10 hrs and 30 mins
Singularity,Jeremy Robinson, 12 hrs and 46 mins
Threads of Destiny: Volume 2,Yrsillar, 15 hrs and 58 mins
Pen Pal,J.T. Geissinger, 7 hrs and 54 mins
Young Forever,Dr. Mark Hyman MD, 9 hrs and 28 mins
Flying in the Face of Fear,Kim Campbell, 7 hrs and 40 mins
Data Mesh,Zhamak Dehghani, 14 hrs and 2 mins
Can't Say Goodbye,Eden Finley, 8 hrs and 5 mins
One True Loves,Taylor Jenkins Reid, 8 hrs and 5 mins
To Kill a Mockingbird,Harper Lee, 12 hrs and 17 mins
The Hitchhiker's Guide to the Galaxy,Douglas Adams, 5 hrs and 51 mins
The Five Dysfunctions of a Team,Patrick Lencioni, 3 hrs and 42 mins
Eragon,Christopher Paolini, 16 hrs and 22 mins
The Witching Hour,Anne Rice, 50 hrs and 1 min
The Round House,Louise Erdrich, 12 hrs and 39 mins
Why We Sleep,Matthew Walker, 13 hrs and 52 mins
The Secret,Rhonda Byrne, 4 hrs and 24 mins
Good to Great,Jim Collins, 10 hrs and 1 min
Traction,Gino Wickman, 6 hrs and 56 mins
How Data Happened,"Chris Wiggins,Matthew L. Jones", 10 hrs and 27 mins
Magi Guard,Daniel Schinhofen, 13 hrs and 2 mins
The World According to Dragons,Harmon Cooper, 12 hrs and 24 mins
"I, Human",Tomas Chamorro-Premuzic, 4 hrs and 56 mins
Her Deadly Game,Robert Dugoni, 11 hrs
Blood Lovers,JA Huss, 11 hrs and 9 mins
Unscripted,"James B. Stewart,Rachel Abrams", 12 hrs and 23 mins
Una historia compartida [A Shared History],Julia Navarro, 13 hrs and 8 mins
Vicious Lies,Rachel Leigh, 7 hrs and 35 mins
Monster Girl Inn III,Misty Vixen, 6 hrs and 33 mins
Someone Else's Shoes,Jojo Moyes, 12 hrs and 21 mins
Every Shot Counts,Mark Broadie, 6 hrs and 28 mins
Run on Red,Noelle West Ihli, 7 hrs and 28 mins
You're That Bitch,Bretman Rock, 6 hrs and 26 mins
Before I Let Go,Kennedy Ryan, 13 hrs and 45 mins
Traitor King,Andrew Lownie, 8 hrs and 27 mins
Flawless,Elsie Silver, 9 hrs and 44 mins
The Wrong Bride,Catharina Maura, 11 hrs and 22 mins
Rabbit,"Patricia Williams,Jeannine Amber", 7 hrs and 23 mins
Playing to Win,"Roger L. Martin,A.G. Lafley", 7 hrs and 9 mins
Spy Secrets That Can Save Your Life,Jason Hanson, 6 hrs and 17 mins
Will I Ever Be Good Enough?,Karyl McBride, 7 hrs and 25 mins
Blood and Thunder,Hampton Sides, 20 hrs and 56 mins
In Isabeau's Eyes,Lora Leigh, 9 hrs and 24 mins
Smoke Screen,Bradley Wright, 6 hrs and 49 mins
Burner,Mark Greaney, 16 hrs and 38 mins
My Husband's Wife,Jane Corry, 13 hrs and 50 mins
"Boundaries, Updated and Expanded Edition","John Townsend,Henry Cloud", 11 hrs and 18 mins
Think and Grow Rich,Napoleon Hill, 9 hrs and 35 mins
Watch Me Disappear,Janelle Brown, 13 hrs and 15 mins
Start with Why,Simon Sinek, 7 hrs and 18 mins
Children of Time,Adrian Tchaikovsky, 16 hrs and 31 mins
Two Weeks Notice,Amy Porterfield, 7 hrs and 38 mins
And the Mountains Echoed,Khaled Hosseini, 14 hrs and 1 min
The Name of the Wind,Patrick Rothfuss, 27 hrs and 55 mins
The Song of Achilles,Madeline Miller, 11 hrs and 15 mins
Icebreaker,Hannah Grace, 13 hrs and 23 mins
Tell Her Story,"Nijay K. Gupta,Beth Allison Barr - foreword", 7 hrs and 22 mins
Man-Eaters of Kumaon,Jim Corbett, 8 hrs and 15 mins
Dark Light,Jayne Castle, 8 hrs and 55 mins
Something's Different,Quinn Ivins, 11 hrs and 19 mins
Smolder,Laurell K. Hamilton, 11 hrs and 14 mins
Bleeding Chaos,Nikki Ash, 6 hrs and 41 mins
He Who Fights with Monsters 9,"Shirtaloon,Travis Deverell", 28 hrs and 3 mins
So Shall You Reap,Donna Leon, 9 hrs and 11 mins
Commune 6: The Slavers of Grand Saline,Joshua Gayou, 14 hrs and 23 mins
Undying Stars,Anna Carven, 9 hrs and 12 mins
Dance of Kings and Thieves,LJ Andrews, 13 hrs and 38 mins
The Moonlight Child,Karen McQuestion, 9 hrs and 52 mins
Yours Truly,Abby Jimenez, 11 hrs and 23 mins
Monsters and How to Tame Them,Kevin Hart, 5 hrs and 37 mins
One Train Later,Andy Summers, 15 hrs and 35 mins
Scattered Minds,Gabor Maté MD, 10 hrs and 59 mins
We Over Me,"Khadeen Ellis,Devale Ellis", 6 hrs and 40 mins
Born Twice,Dale Hanson, 15 hrs and 25 mins
The Red Pyramid,Rick Riordan, 14 hrs and 33 mins
Esrahaddon,Michael J. Sullivan, Not Yet Known
The Lord Ruler,Alvin Atwater, 17 hrs and 39 mins
"So Many Lions, So Few Daniels",Ray Comfort, 4 hrs and 53 mins
Birnam Wood,Eleanor Catton, 12 hrs and 47 mins
Until You,K. Bromberg, 8 hrs and 27 mins
Everybody Writes (2nd Edition),Ann Handley, 11 hrs and 26 mins
Interpreting Guilt,Peter Kirkland, 8 hrs and 19 mins
The Roots of the Federal Reserve,Laura Sanger, 19 hrs and 8 mins
Stop Overthinking Your Relationship,"Alicia Muñoz LPC,Linda Carroll LMFT - foreword", 7 hrs and 22 mins
The Subtle Art of Not Giving a F*ck,Mark Manson, 5 hrs and 17 mins
Hello Beautiful,Ann Napolitano, 15 hrs and 6 mins
If This Is Love,Jewel E. Ann, 9 hrs and 13 mins
Blue Burn,M.R. Forbes, 7 hrs and 47 mins
Tree of Aeons,SpaizZzer, 18 hrs and 21 mins
Me My Mine,RC Blakes Jr, 3 hrs and 54 mins
Dungeons & Dragons: Honor Among Thieves: The Road to Neverwinter,Jaleigh Johnson, 9 hrs and 18 mins
The Numbers,Nick Pirog, 9 hrs and 32 mins
Querido Yo [Dear Me],Alejandro Sequera, 3 hrs and 37 mins
Drive with Me To: California DMV Handbook,Driversland Driversland, 4 hrs and 48 mins
Psalm 91: God's Umbrella of Protection,Peggy Joyce Ruth, 4 hrs and 2 mins
Disruptive Thinking,T. D. Jakes, 9 hrs
Wool,Hugh Howey, 15 hrs
The Light We Carry,Michelle Obama, 9 hrs and 59 mins
Into the Storm,Rachel Grant, 10 hrs and 18 mins
The Fine Print,Lauren Asher, 11 hrs and 8 mins
A Day of Fallen Night,Samantha Shannon, 38 hrs and 48 mins
On the Line,Fern Michaels, 8 hrs and 51 mins
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid, 12 hrs and 10 mins
Blade of Iris,K.A. Knight, 15 hrs and 2 mins
Bonds of Truths,Davis Ashura, 23 hrs and 23 mins
The Blue Pool Murders,Rachel McLean, 6 hrs and 40 mins
What's Our Problem?,Tim Urban, 13 hrs and 58 mins
The Dark Hours,David J. Gatward, 9 hrs and 43 mins
Power,Cassandra Robbins, 8 hrs and 58 mins
Bride of the Shadow King,Sylvia Mercedes, 12 hrs and 5 mins
Vanished in Vermillion,Lou Raguse, 9 hrs and 40 mins
Never Lie,Freida McFadden, 7 hrs and 22 mins
Fast Like a Girl,Dr. Mindy Pelz, 8 hrs and 13 mins
Worthy Opponents,Danielle Steel, 7 hrs and 33 mins
The Crash Course (2nd Edition),Chris Martenson, 12 hrs and 23 mins
It's OK to Be Angry About Capitalism,"Senator Bernie Sanders,John Nichols", 10 hrs and 59 mins
Stolen Youth,"Karol Markowicz,Bethany Mandel", 9 hrs and 5 mins
Vacuuming in the Nude,Peggy Rowe, 6 hrs and 7 mins
The Inmate,Freida McFadden, 8 hrs and 5 mins
The 6 Types of Working Genius,Patrick M. Lencioni, 4 hrs and 11 mins
The Whole-Brain Child,"Daniel J. Siegel,Tina Payne Bryson", 6 hrs and 14 mins
Resurrection Walk,Michael Connelly, 12 hrs
Duke: Faking the Play,"Kayley Loring,Connor Crais", 7 hrs and 55 mins
God Talks,Ed Rush, 4 hrs and 59 mins
Facets of Revolution,T. A. White, 20 hrs and 23 mins
In a Jam,Kate Canterbary, 15 hrs and 54 mins
"Act Like a Leader, Think Like a Leader",Herminia Ibarra, 5 hrs and 23 mins
Her Last Words,S. Neha, 4 hrs and 45 mins
Unearthing Joy,Gholdy Muhammad, 8 hrs and 24 mins
Did I Ever Tell You This?,Sam Neill, 12 hrs and 35 mins
A Damn Near Perfect Game,"Joe Kelly,Rob Bradford - contributor", 6 hrs and 51 mins
